연번,사무구분,부서,민원사무명,처리기간
1,민원,세무1과,신탁재산의 재산세 납세의무자 신고서,즉시
2,세무,세무1과,재산세 세율 특례 적용 시 주택 수 산정 제외 (변경)신청서,즉시
3,세무,세무1과,미납지방세 등 열람 신청서,즉시
4,세무,세무1과,주택 재산세 납부유예 신청서,즉시
5,세무,세무1과,지방세 환급금 양도요구서,즉시
6,세무,세무1과,건축물 시가표준액 의견청취,5월말
7,세무,세무1과,지방세 제증명 발급 신청서,즉시
8,세무,세무1과,지방세 세목별과세증명서,즉시
9,세무,세무1과,상속인 대표자 신고,즉시
10,세무,세무1과,지방세 납세증명서,즉시
11,세무,세무1과,"지방세 자동이체[신규,해지] 신청",즉시
12,세무,세무1과,지방세 징수유예등의 신청,10일
13,세무,세무1과,지방세 기한연장(승인)신청,3일
14,세무,세무1과,재산세 변동 신고,즉시
15,세무,세무1과,재산세 분할납부 신청,즉시
16,세무,세무1과,재산세 물납(물납부동산변경) 신청,5일
17,세무,세무1과,"지방세 환급금 청구, 지방세환급금 지급 청구",즉시
18,세무,세무1과,납세관리인 지정 및 변경신고서,즉시
19,세무,세무2과,소급공제 법인지방소득세액 환급 신청서,5~15일
20,세무,세무2과,법인지방소득세 세무조정 계산서 부속서류,5~15일
21,세무,세무2과,법인지방소득세 안분명세서,5~15일
22,세무,세무2과,법인지방소득세 외국법인세액 과세표준 차감 명세서,5~15일
23,세무,세무2과,연결법인관련 법인지방소득세 서식모음,15일
24,세무,세무2과,법인지방소득세 신고 서식(비영리법인포함),5~15일
25,세무,세무2과,지방세 생애최초 주택 구입 취득세 감면 신청서(2023.3.14.시행),2개월
26,세무,세무2과,공동주택가격 의견서 및 이의신청서,
27,세무,세무2과,개별주택가격 의견서 및 이의신청서,30일
28,세무,세무2과,토지등 매매차익에 대한 개인지방소득세 예정신고 및 납부계산서,즉시
29,세무,세무2과,결손금소급공제세액환급신청서,즉시
30,세무,세무2과,종합소득에 대한 개인지방소득세 과세표준확정신고 및 납부계산서 등,즉시
31,세무,세무2과,양도소득에 대한 개인지방소득세 과세표준 신고 및 납부계산서,즉시
32,세무,세무2과,주민세(사업소분) 신고,즉시
33,세무,세무2과,개인지방소득세 납부서,즉시
34,세무,세무2과,지방세 이의신청서,90일
35,세무,세무2과,지방세 과세표준 및 세액 등의 결정 또는 경정 청구서,2개월
36,세무,세무2과,취득세 계약해제 신고서,즉시
37,세무,세무2과,지방세 과세표준 수정신고서(지방세기본법 별지 제13호 서식),즉시
38,세무,세무2과,법인지방소득세 특별징수명세서,즉시
39,세무,세무2과,지방소득세(연말정산 등) 환급청구서,15~30일
40,세무,세무2과,취득세 신고,즉시
41,세무,세무2과,"지방소득세 특별징수 납부서, 지방소득세 특별징수 계산서 및 명세서",즉시
42,세무,세무2과,주민세(종업원분) 신고,즉시
43,세무,세무2과,지방세 감면 신청,5일
44,세무,세무2과,주민세(재산분) 신고,즉시
45,세무,세무2과,자동차 소유에 대한 자동차세 비과세 신청,7일
46,세무,세무2과,자동차세 일할계산 및 연세액 납부 승계 동의 신청,즉시
47,세무,세무2과,자동차세(소유) 연세액 신고,즉시
48,세무,세무2과,등록면허세(등록분) 자진 신고납부,즉시
49,민원,총무과,"모바일 주민등록증(발급, 재발급) 신청",즉시
50,민원,총무과,인감증명 발급신청(위임장 및 동의/확인서),
51,민원,총무과,해외체류 신고 및 신고철회,즉시
52,민원,총무과,주민등록번호 변경신청,주민등록번호 변경 결정 청구를 받은 날로부터 90일 이내
53,민원,총무과,인감보호 신청 및 보호해지 신청,즉시
54,민원,총무과,주민등록재등록신고,즉 시
55,민원,총무과,(모바일)주민등록증 분실신고 및 분실신고 철회신청,즉 시
56,민원,총무과,(IC)주민등록증 재발급신청,"발급신청확인서 즉시, 실물 신분증 14일~"
57,민원,총무과,(IC)주민등록증 신규발급신청,"발급신청확인서 즉시, 실물 신분증 14일~"
58,민원,총무과,주민등록표 등본(초본) 열람 및 교부,즉 시
59,민원,총무과,전입신고,즉 시
60,민원,총무과,주민등록(신규등록) 신고,즉 시
61,민원,총무과,주민등록이의신청,10일
62,민원,총무과,전입세대확인서 열람(발급),즉시
63,민원,총무과,"인감(사망, 실종선고,신고사항 변경,말소, 부활 등) 신고",즉 시
64,민원,총무과,인감(변경)신고(서면위임용),즉 시
65,민원,총무과,국외이주 신고,즉 시
66,민원,총무과,"주민등록정정(말소,거주불명등록)신고",즉 시
67,문화체육,문화관광체육과,비디오물 시청제공업 등록 신고,7일
68,문화체육,문화관광체육과,비디오물 제작업 및 배급업 신고,5일
69,문화체육,문화관광체육과,비디오물 영업신고(등록)증 재교부 신청,1일
70,문화체육,문화관광체육과,음반·음악영상물제작(배급)업 변경신고,3일
71,문화체육,문화관광체육과,음반·음악영상물제작(배급)업 신고,3일
72,문화체육,문화관광체육과,영화업 등록(신고)증 재교부 신청,3일
73,문화체육,문화관광체육과,"대중문화예술기획업 휴업, 폐업, 영업재개 신고",1일
74,문화체육,문화관광체육과,대중문화예술기획업 신규 및 변경 등록 신고,15일(신규) 7일(변경)
75,문화체육,문화관광체육과,"영화 및 비디오물 관련업자 변경(양도,양수) 등록,신고 신청",3일
76,문화체육,문화관광체육과,영화업 및 비디오물 관련업자 폐업신고 신청,1일
77,문화체육,문화관광체육과,"영화업 신고, 등록 신청",3일
78,문화체육,문화관광체육과,유통관련업자 허가·등록·신고신청,3일
79,문화체육,문화관광체육과,유통관련업자 등록사항 변경등록 신청(신고),3일
80,문화체육,문화관광체육과,정보?전자?기타간행물사업 신규 ? 변경 ? 폐업 신고,"신규 25일, 변경 5일(발행인?편집인 변경시 20일), 폐업 5일"
81,문화체육,문화관광체육과,체육시설업 신고(변경신고),신고: 7일 변경신고: 5일
82,문화체육,문화관광체육과,체육시설업 신고증명서 재발급 신청,즉시
83,문화체육,문화관광체육과,체육시설업 휴업(폐업)통보,즉시
84,문화체육,문화관광체육과,"출판사,인쇄사 신규,변경신고 신청",3일
85,문화체육,문화관광체육과,관광사업 양수(지위승계) 신고,여행업·관광숙박업·관광객이용시설업·국제회의업·유원시설업·관광편의시설업 : 5일 / 카지노업 7일
86,문화체육,문화관광체육과,관광사업 휴업(폐업) 통보,1일
87,문화체육,문화관광체육과,기타 테마파크업 신고사항 변경신고,3일
88,문화체육,문화관광체육과,기타 테마파크업 영업 신고,3일
89,문화체육,문화관광체육과,동력수상레저기구 등록,3일
90,문화체육,문화관광체육과,동력수상레저기구 말소등록,3일
91,문화체육,문화관광체육과,등록증 재발급 신청,3일
92,문화체육,문화관광체육과,수상레저기구 등록사항 변경,3일
93,문화체육,문화관광체육과,테마파크업 허가 신청,3일
94,문화체육,문화관광체육과,테마파크업 허가사항 변경허가 신청,3일
95,문화체육,문화관광체육과,유통관련업 등록증 재교부 신청,1일
96,문화체육,문화관광체육과,공연장업 등록 변경등록 신청,등록 : 7일 변경 : 3일
97,문화체육,문화관광체육과,공연장업 등록증 재교부 신청,1일
98,문화체육,문화관광체육과,관광사업 등록신청 - 사전심사청구제 대상민원,"여행업, 관광숙박업 및 야영장업: 7일, 종합휴양업: 12일, 외국인관광 도시민박업: 14일, 기타: 5일"
99,문화체육,문화관광체육과,관광사업 변경등록 신청,4일
100,공유재산,재무과,공유재산 사용수익허가·대부신청서,30일
101,민원,민원봉사과,외국인체류확인서 열람(발급),즉시
102,민원,민원봉사과,국적취득자의 성·본 창설신고,
103,민원,민원봉사과,재외동포(F-4) 통합신청,즉시
104,민원,민원봉사과,재산조회 통합처리 신청(안심상속 원스톱서비스),7~20일
105,민원,민원봉사과,가족관계에 관한 영문증명서 발급 신청,즉시
106,민원,민원봉사과,거소(지) 변경 신고,즉시
107,민원,민원봉사과,국내거소신고 사실증명 발급,즉시
108,민원,민원봉사과,거주/숙소제공 확인서,즉시
109,민원,민원봉사과,건축물 현황도 열람발급 동의서(위임장),
110,민원,민원봉사과,혼인신고 수리불가 신고,
111,민원,민원봉사과,파양 신고,
112,민원,민원봉사과,협의이혼 의사 철회,
113,민원,민원봉사과,친권자(지정·변경) 신고,
114,민원,민원봉사과,친양자 입양 신고,
115,민원,민원봉사과,친양자 입양 취소 신고,
116,민원,민원봉사과,친양자 파양 신고,
117,민원,민원봉사과,출생 신고,
118,민원,민원봉사과,"친권(상실·일시정지·일부제한), 법률행위대리권·재산관리권(상실·사퇴) 신고",
119,민원,민원봉사과,"친권(상실·일시정지·일부제한)회복, 법률행위대리권·재산관리권(상실·사퇴)회복신고",
120,민원,민원봉사과,추후보완 신고,
121,민원,민원봉사과,인지(친권자지정) 신고,
122,민원,민원봉사과,여권 발급 신청,8일
123,민원,민원봉사과,입양 신고,
124,민원,민원봉사과,입양취소 신고,
125,민원,민원봉사과,이혼(친권자지정) 신고,
126,민원,민원봉사과,실종(부재)선고 신고,
127,민원,민원봉사과,실종(부재)선고 취소 신고,
128,민원,민원봉사과,어디서나 민원 신청,3시간
129,민원,민원봉사과,성·본 계속사용 신고,
130,민원,민원봉사과,성·본 변경 신고,
131,민원,민원봉사과,사망 신고,
132,민원,민원봉사과,사산 신고,
133,민원,민원봉사과,등록기준지 변경 신고,
134,민원,민원봉사과,등록부정정 신고,
135,민원,민원봉사과,가족관계 등록사항별 증명서 교부 등 신청서,
136,민원,민원봉사과,개명신고,
137,민원,민원봉사과,가족관계등록 창설 신고,
138,민원,민원봉사과,가족관계등록부 존재 신고,
139,민원,민원봉사과,혼인신고 수리불가 신고의 철회,
140,민원,민원봉사과,미성년(후견·후견감독)개시신고,
141,민원,민원봉사과,미성년(후견인·후견감독인)경질신고,
142,민원,민원봉사과,미성년(후견인·후견감독인)종료신고,
143,민원,민원봉사과,혼인 신고,
144,민원,민원봉사과,혼인 취소 신고,
145,민원,민원봉사과,외국인 체류지 변경 신고,
146,민원,민원봉사과,사실증명 발급·열람(출입국/외국인등록),즉시
147,민원,민원봉사과,정보공개 청구,청구를 받은 날부터 10일 이내(10일의 범위에서 1회 연장 가능)
148,민원,정보통신과,정보통신설비 유지보수·관리 제도,3일
149,민원,정보통신과,정보통신공사 사용전검사,14일
150,사회복지,복지정책과,사회보장급여 신청(변경),"○14일: 한부모가족, 유아학비 ○30일: 기초생활보장, 기초연금, 장애인연금, 청소년 특별지원 ○70일 이내: 초중고 학생 교육비 지원"
151,사회복지,복지정책과,"사회복지시설 폐지,휴지,재개신고",없음
152,사회복지,복지정책과,"사회복지시설설치,운영신고",20일
153,사회복지,복지정책과,"긴급지원대상자(해산급여,장제급여,전기요금)지원신청",3일
154,사회복지,복지정책과,"국민기초생활수급자(일반,보장시설)증명서 발급",즉시
155,사회복지,생활보장과,의료급여 요양비 지급청구,15일
156,사회복지,생활보장과,장애인 보조기기 의료급여 신청,10일
157,사회복지,생활보장과,자활근로자 확인서,즉시
158,사회복지,생활보장과,"복지대상자 (해산급여,장제급여)지원신청",4일
159,"건설,건축",노인장애인과,완화된 세부기준의 승인신청서,20일
160,사회복지,노인장애인과,통합지원 신청서,5일
161,사회복지,노인장애인과,장기요양기관 변경지정 신청서,7일
162,사회복지,노인장애인과,장기요양기관 지정(갱신)신청서,30일
163,사회복지,노인장애인과,장기요양기관 변경신고,7일
164,사회복지,노인장애인과,"죽은 태아(매장, 화장) 신고",즉시
165,사회복지,노인장애인과,"종교단체, 법인 자연장지 조성(변경)허가 신청",30일
166,사회복지,노인장애인과,기초연금 수급권 상실신고서,30일
167,사회복지,노인장애인과,장례식장영업 폐업신고,즉시
168,사회복지,노인장애인과,"장례식장 (영업, 변경) 신고","영업신고 : 30일, 변경신고: 10일"
169,사회복지,노인장애인과,가족ㆍ종중ㆍ문중자연장지 조성(변경)신고,10일
170,사회복지,노인장애인과,개인자연장지 조성(변경)신고,7일
171,사회복지,노인장애인과,장애인자립자금대여,20일
172,사회복지,노인장애인과,장애인증명서 발급 위임장 및 법정대리인 동의서,즉시
173,사회복지,노인장애인과,장기요양기관 입소.이용 신청,7일
174,사회복지,노인장애인과,화장시설(봉안당) 설치(변경)신고,30일
175,사회복지,노인장애인과,"장애인복지시설명칭,시설종류,시설장변경신고",10일
176,사회복지,노인장애인과,"장애인복지시설 소재지,이용정원 변경신고",10일
177,사회복지,노인장애인과,재가노인복지시설 설치신고,7일
178,사회복지,노인장애인과,장애인 등록 및 서비스 신청,별도안내
179,사회복지,노인장애인과,"장애인복지시설 설치,운영신고",10일
180,사회복지,노인장애인과,"장애인복지시설(운영중단,운영재개,폐지)신고",10일
181,사회복지,노인장애인과,"장기요양기관 폐업, 휴업 신고",4일
182,사회복지,노인장애인과,양로시설 등 비용수납신고,4일
183,사회복지,노인장애인과,"봉안시설(봉안묘,봉안탑,봉안담) 설치(변경)신고","개인, 가족, 종중, 문중 : 10일, 종교단체, 법인 : 30일"
184,사회복지,노인장애인과,분묘 설치기간 연장 신청,즉시
185,사회복지,노인장애인과,노인여가복지시설설치신고,7일
186,사회복지,노인장애인과,노인의료복지시설 설치신고,7일
187,사회복지,노인장애인과,"노인주거,의료,여가,재가복지시설 변경신고",4일
188,사회복지,노인장애인과,"노인주거,의료,여가,재가복지시설 폐지,휴지신고",4일
189,사회복지,노인장애인과,노인주거복지시설설치신고,7일
190,사회복지,노인장애인과,"시신·유골 (매장, 화장) 신고",즉시
191,사회복지,노인장애인과,미지급 기초연금 지급 청구,7일
192,사회복지,노인장애인과,"법인묘지 등의 사용료, 관리비 등 신고",즉시
193,사회복지,노인장애인과,가족 등 묘지 설치(변경) 허가 신청,"법인묘지 : 30일, 가족,종중,문중묘지 : 10일"
194,사회복지,노인장애인과,개인묘지 설치(변경) 신고,7일
195,사회복지,노인장애인과,개장신고(허가)서,"개장신고 : 2일, 개장허가:3일"
196,사회복지,노인장애인과,기초연금이의신청서,60
197,"아동,청소년",교육지원과,「청소년 보호법」위반 과징금 분할납부 신청,7
198,사회복지,가정보육과,아빠 육아휴직 장려금 지원 신청서,30일
199,사회복지,가정보육과,아빠 육아휴직 장려금 지원신청 위임장,30일
200,"아동,청소년",가정보육과,출산서비스 통합처리 신청서,30일
201,사회복지,가정보육과,어린이집 폐지ㆍ휴지ㆍ재개 신고서,폐지·휴지 : 2개월
202,사회복지,가정보육과,결혼중개업 변경 신고 및 신청,30일
203,사회복지,가정보육과,결혼중개업 신고 및 등록,30일
204,사회복지,가정보육과,복지대상자시설입소(이용)신청(아동),10일
205,사회복지,가정보육과,복지대상자시설입소(이용)신청 (한부모),10일
206,사회복지,가정보육과,가정폭력 관련 상담원 교육훈련시설 설치 신고,10일
207,사회복지,가정보육과,"한부모가족복지시설 (폐지,운영중단,재개) 신고서",7일
208,사회복지,가정보육과,한부모가족복지시설 변경신고서,7일
209,사회복지,가정보육과,한부모가족복지 시설 설치 신고,14
210,사회복지,가정보육과,어린이집 인가,14일
211,사회복지,가정보육과,보육교직원 경력(재직)증명서,즉시
212,사회복지,가정보육과,육아종합지원센터 위탁,14일
213,사회복지,가정보육과,육아종합지원센터 위탁사항 변경,3일
214,사회복지,가정보육과,가정폭력 관련 상담원 교육훈련시설 변경 신고,5일
215,사회복지,가정보육과,가정폭력피해자 보호시설 변경인가,5일
216,사회복지,가정보육과,가정폭력피해자 보호시설 인가,10일
217,사회복지,가정보육과,국공립어린이집 위탁사항 변경,3일
218,사회복지,가정보육과,국공립어린이집 위탁,14일
219,사회복지,가정보육과,가정폭력 관련 상담소 변경 신고,5일
220,사회복지,가정보육과,가정폭력 관련 상담소 설치 신고,10일
221,사회복지,가정보육과,"가정폭력 관련 상담소 등의 폐지. 휴지, 운영재개 신고",6일
222,사회복지,가정보육과,어린이집 변경인가,7일
223,사회복지,가정보육과,한부모가족증명서의발급,즉시
224,"아동,청소년",아동행복과,입양대상아동확인,2일
225,"아동,청소년",아동행복과,입양아동 양육수당 신청,15일
226,"아동,청소년",아동행복과,장애아동양육보조금 신청,15일
227,"아동,청소년",아동행복과,"아동복지시설 변경 신고(명칭, 시설의 장, 소재지, 정원)",2일
228,"아동,청소년",아동행복과,아동복지시설 설치 신고,20일
229,"아동,청소년",아동행복과,"아동복지시설(휴업, 폐업, 재개) 신고",2일
230,"아동,청소년",아동행복과,아동귀가신청,2일
231,"아동,청소년",아동행복과,아동보호시설의보호기간연장승인,3일
232,"아동,청소년",아동행복과,보호시설에 있는 미성년자 후견인 지정,즉시
233,"청소,환경",환경관리과,석면건축물제외승인신청서,7일
234,"청소,환경",환경관리과,석면해체제거사업장의석면비산측정결과보고서,즉시
235,"청소,환경",환경관리과,석면건축물안전관리인 지정변경신고서,즉시
236,"청소,환경",환경관리과,석면해체작업 감리완료 보고서,15일
237,"청소,환경",환경관리과,감리인지정현황(변경)신고서,7일
238,"청소,환경",환경관리과,건축물석면조사결과보고서,7일
239,"청소,환경",환경관리과,특정토양오염관리대상시설설치(변경)신고,"설치: 7일, 변경: 3일"
240,"청소,환경",환경관리과,"배출시설, 방지시설 자체개선완료 보고서",7일
241,"청소,환경",환경관리과,"배출시설, 방지시설의 개선, 조업정지, 사용중지, 폐쇄명령 이행보고서",4일
242,"청소,환경",환경관리과,배출시설 변경 허가(신고),5일
243,"청소,환경",환경관리과,대기·폐수·악취 배출시설 설치 허가신청(신고) -사전심사청구 대상민원,10일 (소음 5일)
244,"청소,환경",환경관리과,"배출시설, 방지시설 자체개선계획서",7일
245,"청소,환경",환경관리과,"배출부과금 면제, 경감대상명세서",10일
246,"청소,환경",환경관리과,배출시설 및 방지시설의 가동개시 신고,즉시
247,"청소,환경",환경관리과,관리대상기기등 (변경)신고,7일
248,"청소,환경",환경관리과,기타 수질오염원 배출시설 설치(변경) 신고,"5일, 4일"
249,"청소,환경",환경관리과,배출부과금 조정 신청,10일
250,"청소,환경",기후대기과,배출가스 전문정비사업 등록신청,30일 이내
251,"청소,환경",기후대기과,배출가스 전문정비사업 변경등록신청,30일 이내
252,"청소,환경",기후대기과,가정용 친환경 보일러 보조금 신청 서식,
253,"청소,환경",기후대기과,가정용 2종 보일러 설치 확인서 및 현장심사 신청서,
254,"산업,경제",기후대기과,"고압가스(제조,저장소 설치,판매) 허가증 재발급 신청서",즉시
255,"청소,환경",기후대기과,특정공사 사전신고,4일
256,"청소,환경",기후대기과,특정공사 변경신고,4일
257,"청소,환경",기후대기과,비산먼지 시설기준 변경신청,4일
258,"청소,환경",기후대기과,비산먼지 발생사업 변경신고,4일
259,"청소,환경",기후대기과,비산먼지 발생사업 신고,4일
260,"산업,경제",기후대기과,(용기·냉동기·특정설비)제조등록,5일
261,"산업,경제",기후대기과,(용기·냉동기·특정설비)제조변경등록,4일
262,"산업,경제",기후대기과,특정고압가스 사용신고,즉시
263,"산업,경제",기후대기과,"고압가스 사업,저장소(개시,중단,폐지,재개)신고",즉시
264,"산업,경제",기후대기과,"고압가스(제조,저장,판매) 허가(변경허가)신청",5일
265,"산업,경제",기후대기과,고압가스사업 지위승계신고,4일
266,"산업,경제",기후대기과,고압가스제조신고 및 변경신고,2일
267,"산업,경제",기후대기과,공급자의 공급 중지신고(고압가스),즉시
268,"산업,경제",기후대기과,고압가스(수입업자·운반자)등록(변경등록),5일
269,공유재산,생태하천과,소하천 점용허가 신청,
